doc_id,assay_id,activity_id,assay_type,assay_confidence_score,assay_bao_format,compound_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value,activity_comment,target_chembl_id,target_type,target_organism,target_pref_name,target_tax_id,protein_accession_class,year,pubmed_id,assay_chembl_id,count_activity_rows,doc_id_all,assay_id_all,activity_id_all,assay_description
52609,655025,3441477,B,9,BAO_0000357,CHEMBL1241103,NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CCCCCCCCCCS(=O)(=O)/C=C/[C@H](CCc1ccccc1)NC(=O)[C@@H](N)Cc1ccc(O)c([N+](=O)[O-])c1,Inhibition,,%,,,Active,CHEMBL1250369,SINGLE PROTEIN,Plasmodium falciparum 3D7,"Preprocathepsin c, putative",36329,,2008.0,18246061.0,CHEMBL1244069,1,52609,655025,3441477,Inhibition of Plasmodium falciparum 3D7 PFL2290w by fluorescence spectrophotometry
52609,655025,3441466,B,9,BAO_0000357,CHEMBL1242565,C[C@H](N)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1,Inhibition,,%,,,Not Active,CHEMBL1250369,SINGLE PROTEIN,Plasmodium falciparum 3D7,"Preprocathepsin c, putative",36329,,2008.0,18246061.0,CHEMBL1244069,1,52609,655025,3441466,Inhibition of Plasmodium falciparum 3D7 PFL2290w by fluorescence spectrophotometry
52609,655025,3441467,B,9,BAO_0000357,CHEMBL514348,CCC[C@H](N)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1,Inhibition,,%,,,Not Active,CHEMBL1250369,SINGLE PROTEIN,Plasmodium falciparum 3D7,"Preprocathepsin c, putative",36329,,2008.0,18246061.0,CHEMBL1244069,1,52609,655025,3441467,Inhibition of Plasmodium falciparum 3D7 PFL2290w by fluorescence spectrophotometry
52609,655032,3441483,B,9,BAO_0000357,CHEMBL1241101,O=C(CCCCCNC(=O)CCCC[C@H]1SC[C@H]2NC(=O)N[C@H]21)NCCCCCC(=O)Nc1ccc2c(Cl)c(OCCc3ccccc3)oc(=O)c2c1,Inhibition,,%,,,Active,CHEMBL1250370,SINGLE PROTEIN,Plasmodium falciparum 3D7,"Protease, putative",36329,,2008.0,18246061.0,CHEMBL1244076,1,52609,655032,3441483,Inhibition of Plasmodium falciparum 3D7 PFD0230c-mediated SERA5 processing at 1 1 to 100 uM after 6 to 8 hrs by SDS-PAGE
52609,655023,3441462,B,9,BAO_0000357,CHEMBL1242565,C[C@H](N)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1,Inhibition,,%,,,Active,CHEMBL1250370,SINGLE PROTEIN,Plasmodium falciparum 3D7,"Protease, putative",36329,,2008.0,18246061.0,CHEMBL1244067,1,52609,655023,3441462,Inhibition of Plasmodium falciparum 3D7 PFD0230c by fluorescence spectrophotometry
52609,655029,3441481,B,9,BAO_0000019,CHEMBL1242746,N[C@@H](Cc1ccc(O)c([N+](=O)[O-])c1)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1,Inhibition,,%,,,Dose-dependent effect,CHEMBL1250370,SINGLE PROTEIN,Plasmodium falciparum 3D7,"Protease, putative",36329,,2008.0,18246061.0,CHEMBL1244075,2,52609;52609,655029;655031,3441481;3441489,Inhibition of Plasmodium falciparum 3D7 PFD0230c-mediated rupture of infected human red blood cells at 10 uM after 24 hrs by giemsa staining
52609,655023,3441474,B,9,BAO_0000357,CHEMBL1242746,N[C@@H](Cc1ccc(O)c([N+](=O)[O-])c1)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1,Inhibition,,%,,,Active,CHEMBL1250370,SINGLE PROTEIN,Plasmodium falciparum 3D7,"Protease, putative",36329,,2008.0,18246061.0,CHEMBL1244076,2,52609;52609,655023;655032,3441474;3441486,Inhibition of Plasmodium falciparum 3D7 PFD0230c-mediated SERA5 processing at 1 1 to 100 uM after 6 to 8 hrs by SDS-PAGE
52609,655030,3441482,B,9,BAO_0000019,CHEMBL1242747,O=C(N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1)C1CCCN1,Inhibition,,%,,,Not Active,CHEMBL1250370,SINGLE PROTEIN,Plasmodium falciparum 3D7,"Protease, putative",36329,,2008.0,18246061.0,CHEMBL1244075,2,52609;52609,655031;655030,3441490;3441482,Inhibition of Plasmodium falciparum 3D7 PFD0230c-mediated rupture of infected human red blood cells at 1 to 100 uM after 24 hrs by propidium iodide staining-based FACS analysis
52609,655032,3441485,B,9,BAO_0000357,CHEMBL1242747,O=C(N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1)C1CCCN1,Inhibition,,%,,,Active,CHEMBL1250370,SINGLE PROTEIN,Plasmodium falciparum 3D7,"Protease, putative",36329,,2008.0,18246061.0,CHEMBL1244076,1,52609,655032,3441485,Inhibition of Plasmodium falciparum 3D7 PFD0230c-mediated SERA5 processing at 1 1 to 100 uM after 6 to 8 hrs by SDS-PAGE
52609,655031,3441491,B,9,BAO_0000019,CHEMBL2368877,CCOC(=O)[C@H]1O[C@@H]1C(=O)N[C@H](C(=O)NCCc1ccc(O)cc1)[C@@H](C)CC,Inhibition,,%,,,Active,CHEMBL1250370,SINGLE PROTEIN,Plasmodium falciparum 3D7,"Protease, putative",36329,,2008.0,18246061.0,CHEMBL1244075,1,52609,655031,3441491,Inhibition of Plasmodium falciparum 3D7 PFD0230c-mediated rupture of infected human red blood cells at 10 uM after 24 hrs by giemsa staining
52609,655023,3441464,B,9,BAO_0000357,CHEMBL514348,CCC[C@H](N)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1,Inhibition,,%,,,Active,CHEMBL1250370,SINGLE PROTEIN,Plasmodium falciparum 3D7,"Protease, putative",36329,,2008.0,18246061.0,CHEMBL1244067,1,52609,655023,3441464,Inhibition of Plasmodium falciparum 3D7 PFD0230c by fluorescence spectrophotometry
52609,655028,3441470,B,9,BAO_0000357,CHEMBL1242565,C[C@H](N)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1,Inhibition,,%,,,Active,CHEMBL1250371,SINGLE PROTEIN,Plasmodium falciparum 3D7,Cysteine proteinase falcipain-1,36329,,2008.0,18246061.0,CHEMBL1244072,1,52609,655028,3441470,Inhibition of Plasmodium falciparum 3D7 falcipain-1 by fluorescence spectrophotometry
52609,655028,3441478,B,9,BAO_0000357,CHEMBL1242747,O=C(N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1)C1CCCN1,Inhibition,,%,,,Active,CHEMBL1250371,SINGLE PROTEIN,Plasmodium falciparum 3D7,Cysteine proteinase falcipain-1,36329,,2008.0,18246061.0,CHEMBL1244072,1,52609,655028,3441478,Inhibition of Plasmodium falciparum 3D7 falcipain-1 by fluorescence spectrophotometry
52609,655028,3441473,B,9,BAO_0000357,CHEMBL514348,CCC[C@H](N)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1,Inhibition,,%,,,Active,CHEMBL1250371,SINGLE PROTEIN,Plasmodium falciparum 3D7,Cysteine proteinase falcipain-1,36329,,2008.0,18246061.0,CHEMBL1244072,1,52609,655028,3441473,Inhibition of Plasmodium falciparum 3D7 falcipain-1 by fluorescence spectrophotometry
52609,655024,3441476,B,9,BAO_0000357,CHEMBL1241103,NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CCCCCCCCCCS(=O)(=O)/C=C/[C@H](CCc1ccccc1)NC(=O)[C@@H](N)Cc1ccc(O)c([N+](=O)[O-])c1,Inhibition,,%,,,Active,CHEMBL1250372,SINGLE PROTEIN,Plasmodium falciparum 3D7,Probable cathepsin C,36329,,2008.0,18246061.0,CHEMBL1244068,1,52609,655024,3441476,Inhibition of Plasmodium falciparum 3D7 cathepsin C by fluorescence spectrophotometry
52609,655024,3441463,B,9,BAO_0000357,CHEMBL1242565,C[C@H](N)C(=O)N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1,Inhibition,,%,,,Active,CHEMBL1250372,SINGLE PROTEIN,Plasmodium falciparum 3D7,Probable cathepsin C,36329,,2008.0,18246061.0,CHEMBL1244068,1,52609,655024,3441463,Inhibition of Plasmodium falciparum 3D7 cathepsin C by fluorescence spectrophotometry
52609,655024,3441475,B,9,BAO_0000357,CHEMBL1242747,O=C(N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1)C1CCCN1,Inhibition,,%,,,Active,CHEMBL1250372,SINGLE PROTEIN,Plasmodium falciparum 3D7,Probable cathepsin C,36329,,2008.0,18246061.0,CHEMBL1244068,1,52609,655024,3441475,Inhibition of Plasmodium falciparum 3D7 cathepsin C by fluorescence spectrophotometry
