smiles,uM_value,pchembl_value
O.O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0.38508,6.41
CNC[C@H](O)c1ccc(O)c(O)c1.O=C(O)C(O)C(O)C(=O)O,3.015,5.52
CCOC(=O)Cc1csc(NC(=O)NC2(C(F)(F)F)Oc3ccccc3O2)n1,3.024,5.52
O=C(O)C(=O)O.OC(Cn1cnnc1)c1ccccc1,0.6029,6.22
O=C(Nc1cccc(C(F)(F)F)c1)Nn1cnnc1,2.317,5.63
CCN1C(=O)/C(=C2\SC(=S)N(NC(=O)c3ccccc3O)C2=O)c2ccccc21,25.013,4.6
CC1(C)C2([N+](=O)[O-])CN3CC1([N+](=O)[O-])CN(C2)C3c1ccc(O)c(O)c1,1.185,5.93
Cc1cc(O)nc2c(N=Nc3ccc(O)cc3)c(N)nn12,1.506,5.82
COCC(C)NC(=O)NC1(C(F)(F)F)Oc2ccc(Cl)cc2O1,1.788,5.75
Cc1ccccc1-n1sc2cc(F)ccc2c1=O,0.64806,6.19
CS(=O)(=O)c1ccc2c(c1)SC1=NC(=O)/C(=C/c3ccc(O)c(O)c3)C(=N)N12,2.16,5.67
Oc1ccc(O)c(-c2cnns2)c1,1.886,5.72
O=[N+]([O-])c1c(O)nc(/C=C\c2ccc(O)c(O)c2)nc1O,0.66988,6.17
Oc1ccc(-c2csc(-c3cccnc3)n2)cc1O,1.805,5.74
COc1ccc(C2=CC(=O)C=CC2=O)cc1,6.848,5.16
Cc1ccc(-n2sc3ccccc3c2=O)cc1,1.25,5.9
O=C(NCc1cccnc1)NC1(C(F)(F)F)Oc2ccc(Cl)cc2O1,1.578,5.8
CCC(C)c1ccc(O)c(N)c1,2.246,5.65
COc1ccc(N2C(=O)/C(=C\Nn3cnnc3)c3ccccc3C2=O)cc1,1.563,5.81
Oc1nc(CSc2nc[nH]n2)nc2ccccc12,0.83302,6.08
CC(C)n1c(SCC(=O)Nc2nncs2)nnc1-c1ccco1,4.678,5.33
CCOc1cc(C(=O)NC(=S)Nn2cnnc2)cc(OCC)c1OCC,0.921,6.04
O=C1Nc2ccccc2/C1=C1/SC(=S)N(NC(=O)c2cccnc2)C1=O,55.41,4.26
Cc1nc2ccccn2c1C(=O)NNC(=O)Nc1ccccc1,1.049,5.98
O=C1NC(=O)C(=Cc2ccc(-c3ccc(F)cc3O)o2)C(=O)N1,4.135,5.38
Cc1cc(OCC(=O)Nn2cnnc2)ccc1Br,2.549,5.59
Cc1ccc(Cl)cc1NC(=O)Nn1cnnc1,1.698,5.77
CC1(C)CC(=O)c2c(oc3cc(O)c(O)cc23)C1,1.251,5.9
O=C(CSc1nn(-c2ccccc2)c(=S)s1)Nn1cnnc1,1.61,5.79
O=C(/C=C/c1ccc(O)c(O)c1)NC(=O)c1ccccc1O,1.469,5.83
COc1cccc(C(=O)NC(=S)Nn2cnnc2)c1OC,2.08,5.68
O=C(CSc1nnc(-c2ccccc2)o1)Nn1cnnc1,2.091,5.68
Cc1c(C(=O)Nn2cnnc2)oc2ccccc12,0.6638,6.18
O=C(/C=C/c1ccccc1)Nn1cnnc1,1.761,5.75
CN1CCc2cccc3c2[C@@H]1Cc1ccc(O)c(O)c1-3.Cl,3.103,5.51
O=C(Nc1cccc([N+](=O)[O-])c1)Nn1cnnc1,0.93,6.03
Cc1cc(NC(=O)NC2(C(F)(F)F)Oc3ccc(Cl)cc3O2)no1,1.693,5.77
CC1(C)CC2(CC(c3ccccc3F)c3ccc(O)c(O)c3O2)N=C(S)N1,1.76,5.75
O=C(Nn1cnnc1)c1ccccc1-c1ccccc1,2.888,5.54
O=C(CNC(=O)c1ccccc1)NCCc1ccc(O)c(O)c1,1.805,5.74
Cc1csc(NC(=O)NC2(C(F)(F)F)Oc3ccccc3O2)n1,2.021,5.69
Cc1ccc([N+](=O)[O-])cc1-c1[nH]c(-c2ccc(O)c(O)c2)nc1-c1ccccc1,1.691,5.77
C[C@]12CC[C@@H]3c4ccc(O)c(O)c4CC[C@H]3[C@@H]1CC[C@@H]2O,1.22,5.91
O=C(Nc1ccc(Cl)cc1Cl)Nn1cnnc1,0.79132,6.1
COc1ccc(NC(=O)NNC(=O)CCc2ccc(O)c(O)c2)cc1OC,2.512,5.6
O=C(NCCc1ccc(O)c(O)c1)C1COc2ccccc2O1,2.11,5.68
CCOC(=O)c1ccc(NC(=O)Nn2cnnc2)cc1,2.09,5.68
Cc1ccc(-n2sc3ccccc3c2=O)cc1S(=O)(=O)N1CCCCC1,4.284,5.37
Cl.Oc1ccc(CCNc2c3ccccc3nc3ccccc23)cc1O,2.487,5.6
O=C1/C(=C/Nn2cnnc2)c2ccccc2C(=O)N1c1ccccc1,1.861,5.73
O=C(Nc1cccc(Cl)c1Cl)Nn1cnnc1,0.63063,6.2
O=C(Nc1ccc(F)c(Cl)c1)Nn1cnnc1,1.457,5.84
Cc1ccc(N2C(=O)/C(=C/Nn3cnnc3)c3ccccc3C2=O)cc1,1.67,5.78
c1ccc(NCn2cncn2)nc1,2.565,5.59
O=C(Nc1ccc(Br)cc1Cl)Nn1cnnc1,0.71131,6.15
Cc1c(C(=O)c2no[n+]([O-])c2C(=O)c2cnn(C)c2C)cnn1C,1.583,5.8
O=[N+]([O-])c1cc([N+](=O)[O-])c2cccnc2c1Oc1ccccc1O,3.266,5.49
COC(=O)CN(n1cnnc1)S(=O)(=O)c1ccc(C)cc1,0.35082,6.46
O=C(CSc1nc[nH]n1)Nc1nc(-c2ccccc2)ns1,0.4423,6.35
O=C(Nn1cnnc1)c1csc2ccccc12,2.168,5.66
Cc1cccc(N=C(S)Nn2cnnc2)c1C,1.896,5.72
COc1cccc(-c2cc(C(=O)Nn3cnnc3)c3ccccc3n2)c1,1.873,5.73
O=C(NC1(C(F)(F)F)Oc2ccccc2O1)N1CCC2(CC1)OCCO2,2.784,5.55
O=C(O)c1c[nH]nc1-n1cnnn1,1.272,5.9
Oc1ccc(-c2csc(-c3ccccc3)n2)cc1O,2.785,5.55
COc1cc([N+](=O)[O-])ccc1NC(=O)Nn1cnnc1,0.35284,6.45
O=C1NC(=S)NC(=O)C1=Cc1cc2ccccc2[nH]1,1.671,5.78
O=C(Nc1ccc([N+](=O)[O-])cc1)Nn1cnnc1,1.033,5.99
O=C(Nc1ccccc1Cl)Nn1cnnc1,1.467,5.83
COc1ccc(Cl)cc1NC(=O)Nn1cnnc1,0.83199,6.08
O=C(O)CSc1nc[nH]n1,0.2017,6.7
Cc1nnc(NNS(=O)(=O)c2ccc(Cl)cc2)nc1O,1.566,5.8
COc1cc([N+](=O)[O-])ccc1N=C(S)Nn1cnnc1,0.85366,6.07
Nc1nncn1C(=O)CCCOc1ccc(Cl)cc1Cl,2.596,5.59
CCN(CC)S(=O)(=O)c1ccc(C(=O)Nn2cnnc2)cc1,1.066,5.97
CCOC(=O)C1=C(CS(=O)(=O)c2ccc(F)cc2)NC(=O)NC1c1ccc(O)c(O)c1,1.516,5.82
Oc1ccc(-c2cn3ccccc3n2)cc1O,2.556,5.59
O=C(Nc1ccc(Cl)c(Cl)c1)Nn1cnnc1,0.83735,6.08
COCCNC(=O)NC1(C(F)(F)F)Oc2ccc(Cl)cc2O1,2.116,5.67
Cc1cc(C)n2c(S)nnc2n1,6.408,5.19
S=C(Nc1cc(Cl)ccc1Cl)Nn1cnnc1,0.6615,6.18
CNCc1ccccc1Sc1ccc(O)c(O)c1.O=C(O)/C=C\C(=O)O,1.886,5.72
O=C(Nc1cc(N2CCOCC2)ncn1)NC1(C(F)(F)F)Oc2ccccc2O1,2.698,5.57
COC(=O)c1cc(C(=O)Nn2cnnc2)cc([N+](=O)[O-])c1,2.367,5.63
Oc1ccc(C2=Nn3c(nnc3-c3ccco3)SC2)cc1O,1.845,5.73
CN1C(=O)N(c2cccc3ccccc23)C(n2cncn2)C1(C)C,1.802,5.74
O=C(NC(=S)Nn1cnnc1)c1ccccc1Br,1.502,5.82
CCc1ccccc1N=C(S)Nn1cnnc1,3.033,5.52
Cl.NCCc1ccc(O)c(O)c1,1.979,5.7
Cc1ccc(N2C(=O)/C(=C\Nn3cnnc3)c3ccccc3C2=O)cc1,1.952,5.71
Cc1ccc(N=C(S)Nn2cnnc2)c(C)c1,2.111,5.68
CC1=NNC(=O)/C1=C\c1cn(-c2ccccc2)nc1-c1ccc(F)cc1,0.70954,6.15
COC(=O)CN(n1cnnc1)S(=O)(=O)c1ccccc1Cl,0.38067,6.42
COc1ccc(C(=O)n2cnnc2N)cc1,2.513,5.6
COC(=O)CN(n1cnnc1)S(=O)(=O)c1ccccc1,0.49728,6.3
O=S(=O)(Nn1cnnc1)c1ccccc1,3.811,5.42
O=C(Nc1cc(Cl)ccc1Cl)Nn1cnnc1,0.5004700000000001,6.3
Cc1ccc(Cl)cc1N=C(S)Nn1cnnc1,2.064,5.68
CC1=C([N+](=O)[O-])C(c2ccc(O)c(O)c2)NC(=O)N1,0.86354,6.06
CCOC(=O)NC(=O)COC(=O)c1ccc(Sc2nc[nH]n2)c([N+](=O)[O-])c1,0.60909,6.21
O=C1Nc2ccccc2/C1=C1/SC(=S)N(NC(=O)c2cccc(O)c2)C1=O,39.469,4.4
Cc1scc(C(=O)Nn2cnnc2)c1-c1ccccc1,3.127,5.5
Cc1c(Cl)cccc1NC(=O)Nn1cnnc1,1.865,5.73
Cc1cc(C)cc(C(=O)n2cnnc2N)c1,2.888,5.54
CCOC(=O)NC1(Nc2ccc(C)cc2)Oc2ccccc2O1,5.068,5.29
Oc1ccc(-c2cn3c(n2)SCC3)cc1O,1.55,5.81
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,2.242,5.65
O=C(/C=C/c1ccc(O)c(O)c1)OC1C(O)CC(OC(=O)/C=C/c2ccc(O)c(O)c2)(C(=O)O)CC1O,1.945,5.71
Oc1ccc(/C=N/N=C/c2ccc(O)c(O)c2)cc1O,1.75,5.76
