SMILES,Actual Value,Predicted Value
CC(=O)OC[C@H]1O[C@@H](CC(=O)/C=C/c2cccc(NC(=O)Nc3ccccc3)c2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,5.64,5.301452
Cc1[nH]n(-c2ccccc2)c(=O)c1Sc1ccc(Cl)cc1,4.43,6.1398716
Cc1ccc(C(=O)/C=C/c2ccc(C(=O)O[C@@H]3O[C@@H]4O[C@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)cc2)o1,8.7,7.593529
O=C(/C=C/c1ccc(O)c(O)c1)NC(=O)c1ccccc1O,5.83,5.4089203
CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2cc(-c3ccc(C)cc3)nc3ccccc23)cc1,4.86,5.3034334
Sc1nc(-c2ccccc2)nn1-c1ccccc1,4.94,5.9584327
COc1ccc2nc(C)cc(SCC(=O)N/N=C/c3ccc(O)c(O)c3)c2c1,5.61,4.819957
O=c1cc(CNCCNc2ccnc3cc(Cl)ccc23)n(C2CC2)cc1O,6.52,6.459688
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccccc12,6.02,6.4887786
O=C(Nc1ccc(F)c(Cl)c1)Nn1cnnc1,5.84,5.9547377
CCN1C(=O)N(CCC(C)C)C2(CCN(Cc3ccc(OC)cc3OC)CC2)C1=O,5.12,5.5018783
C[C@H]1[C@@H](CCCO)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,7.94,8.66523
CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](OC(C)=O)CO[C@H]1CC(=O)/C=C/c1cccc(NS(=O)(=O)c2ccc(C)cc2)c1,5.86,5.8827615
CN(C)c1cc[n+](Cc2ccc(-c3ccc(Cn4cnc(N)c5ncnc4-5)cc3)cc2)cc1.[Br-],6.02,5.9085164
CCOC(=O)CSc1nnc(-c2ccco2)n1-c1ccc(C)cc1,4.43,4.5215764
O=C(O)CSc1nc(-c2ccc(Cl)cc2)nc2c1oc1ccccc12,4.46,5.352333
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1cc(CC[C@@H](C)[C@H]2CC[C@H]3[C@@H]4[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H]5C[C@H](OC(C)=O)CC[C@]5(C)[C@H]4CC[C@]23C)nc2ccc(OC)cc12,7.13,7.2454805
CC(C)C[C@H](NC(=O)c1ccc(CO[C@H]2O[C@@H]3O[C@@]4(C)CC[C@H]5[C@H](C)CC[C@@H]([C@H]2C)[C@@]35OO4)cc1)C(=O)N[C@H](/C=C/S(C)(=O)=O)CCc1ccccc1,8.61,8.035774
CCOC(=O)c1cnc2ccc3nc(-c4ccc(F)cc4)c(-c4ccc(F)cc4)nc3c2c1O,4.8,4.9553323
Nc1ccc(-c2ccc3ncc4[nH]c(=O)n(C5CCCCC5)c4c3c2)cn1,5.54,5.5228853
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1cc(CC[C@@H](C)[C@H]2CC[C@H]3[C@@H]4[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H]5C[C@H](OC(C)=O)CC[C@]5(C)[C@H]4CC[C@]23C)nc2ccc(OC)cc12,7.25,7.2454805
O/N=C/c1cnc(Oc2ccc3c(c2)B(O)OC3)cn1,5.52,6.4774175
