mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings,SHAP_mw,SHAP_fsp3,SHAP_n_lipinski_hba,SHAP_n_lipinski_hbd,SHAP_n_rings,SHAP_n_hetero_atoms,SHAP_n_heavy_atoms,SHAP_n_rotatable_bonds,SHAP_tpsa,SHAP_qed,SHAP_clogp,SHAP_sas,SHAP_n_aliphatic_carbocycles,SHAP_n_aliphatic_heterocyles,SHAP_n_aliphatic_rings,SHAP_n_aromatic_carbocycles,SHAP_n_aromatic_heterocyles,SHAP_n_aromatic_rings,SHAP_n_saturated_carbocycles,SHAP_n_saturated_heterocyles,SHAP_n_saturated_rings
358,0,4,1,3,6,21,3,54,0,4,1,0,0,0,1,2,3,0,0,0,-0.075476944,-0.007990214,-0.08124479,-0.06764268,0.022516184,-0.03313505,-0.2697432,-0.041188862,0.59551287,0.0,0.21253592,-0.29858884,0.021978274,0.024068484,0.03185066,0.042324893,0.0040598926,0.01112985,-0.009114102,0.0043469314,-0.034135155
294,0,4,2,3,4,22,5,54,0,3,1,0,0,0,2,1,3,0,0,0,-0.07350504,-0.008022835,-0.018300956,-0.05536733,0.021475917,0.027011318,-0.1699606,-0.16269438,0.38594645,0.0,-0.04612393,-0.17430554,0.008674883,0.03163317,0.01654249,0.001115822,0.017562581,-0.0061460743,-0.0074170595,0.000730126,-0.04505163
538,0,7,2,3,8,38,12,109,0,4,3,1,0,1,2,0,2,1,0,1,0.14591536,-0.0067458297,0.13581514,0.041104704,-0.0113932,0.03170146,0.14910711,0.3440385,-0.46685705,0.0,0.115269326,0.062637866,0.048210282,0.08516286,-0.00758471,0.01627795,-0.032010976,-0.026002813,0.09877774,0.021668179,-0.023411095
343,0,7,3,3,9,22,3,108,0,0,3,1,1,2,0,1,1,0,0,0,0.07418689,-0.0072010974,0.18904345,0.16463725,0.06602526,0.07398813,-0.060019355,0.12677266,-0.20449175,0.0,0.13582863,0.08618067,0.12240768,0.0022501566,0.0415626,0.047319878,0.06808322,0.14619893,-0.009746061,0.031067928,-0.018907636
278,0,7,3,2,8,19,5,107,0,1,2,0,0,0,1,1,2,0,0,0,-0.34134024,-0.007964629,0.041872215,0.06651939,-0.053683236,0.008596693,-0.19807129,-0.27270964,-0.4025546,0.0,-0.0386199,-0.054892756,-0.008246784,0.040590875,0.014548189,0.016651027,-0.0045491676,-0.046040792,-0.009849352,0.004739089,-0.029323474
603,0,6,3,5,9,41,10,70,0,9,2,0,0,0,4,1,5,0,0,0,0.105432436,-0.006338782,-0.05779758,0.276097,-0.018060831,-0.056106526,0.07000667,0.19677208,0.103460565,0.0,0.42085078,0.0024899114,0.001815271,0.058615007,0.0033665313,-0.090076774,-0.014140819,-0.047664765,-0.014088757,0.0061869016,-0.042724423
304,0,5,0,2,6,21,3,51,0,3,2,0,0,0,1,1,2,0,0,0,0.04860976,-0.008188849,-0.03792846,-0.23582591,-0.029432673,-0.028188918,-0.08974212,-0.030826036,0.5380921,0.0,-0.101013996,-0.0060391775,0.008548626,0.02878148,0.0014303286,0.03816517,0.015130185,-0.00457529,-0.012516368,0.0059469123,-0.040415198
389,0,7,2,3,7,29,6,108,0,3,2,0,0,0,1,2,3,0,0,0,0.00022854691,-0.008003377,0.0888824,-0.031864364,-0.002203931,-0.050578345,-0.08604923,-0.22705647,-0.7357806,0.0,-0.12408351,-0.058144573,-0.0070820553,0.045546014,0.01714114,0.00528726,-0.0074316487,-0.03916586,-0.028440105,0.00917123,-0.045696545
344,0,5,3,2,6,25,4,78,0,3,2,0,0,0,2,0,2,0,0,0,0.14308375,-0.0070645837,-0.005124589,0.35239983,-0.009576432,0.005613753,0.08342795,0.03461527,0.2629419,0.0,0.040349312,0.0036099085,0.010968053,0.05100824,0.07488683,0.10029712,0.014580636,-0.02462289,-0.0058137155,0.011086474,-0.03037235
446,0,7,1,5,7,34,5,100,0,4,2,0,0,0,3,2,5,0,0,0,0.080989495,-0.0077969143,0.14254054,-0.08314545,-0.029187867,-0.0072244764,0.16013074,-0.083682306,-0.27845827,0.0,0.13541137,-0.046240635,0.0026994722,0.056412924,0.028875105,-0.07799154,0.06164776,-0.0145407,-0.028822526,0.013699677,-0.04480261
348,0,8,4,2,9,24,5,124,0,1,2,0,0,0,1,1,2,0,0,0,-0.05190102,-0.007779966,-0.005594059,0.15929681,-0.06814362,-0.10992316,-0.06931747,-0.19427209,-0.39040753,0.0,-0.14523551,-0.0125871785,-0.006949418,0.058671005,0.03511819,0.024244547,0.020319046,-0.06233672,-0.0118653225,0.012175372,-0.030289572
421,0,6,1,5,6,32,4,85,0,5,2,0,0,0,3,2,5,0,0,0,-0.1776036,-0.008093977,-0.12635224,-0.1889579,-0.029087733,-0.08127598,0.17154667,-0.13422874,-0.37052667,0.0,0.0031683252,-0.044269506,-0.004139379,0.032975387,0.008664064,-0.17256662,0.03673847,-0.08265721,-0.03023483,0.0010892805,-0.05229656
488,0,6,2,5,7,35,11,68,0,5,2,1,0,1,2,2,4,1,0,1,-0.061661147,-0.0067221187,-0.047824807,0.09398557,-0.018148698,0.026960935,0.22857495,0.14183538,0.18412916,0.0,0.20119935,-0.03448464,5.7697212e-05,0.07506578,-0.0060723005,0.07821511,0.072507426,0.07122559,0.07818042,-0.0009527673,0.005943407
415,0,6,2,4,6,31,7,74,0,3,2,0,1,1,3,0,3,0,1,1,0.008515364,-0.007849578,-0.0526829,0.0767691,0.029732846,0.03634175,0.11653922,-0.026979847,0.14283663,0.0,-0.08906612,-0.029177135,-0.002362283,-0.038343776,-0.02275218,-0.08038317,-0.050134085,0.009615361,-0.024892498,-0.021921976,-0.03667973
